match_id,date,league_code,season,group_id,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,model,cutoff,p_home,p_draw,p_away
4057694,2026-06-04,M2,2026,1,Pepo Lappeenranta,Lahden Reipas,61010,61562,2,1,H,g0_logistic_dppg,2026-06-01,0.527301404534155,0.19179487910501913,0.2809037163608259
4057786,2026-06-04,M2,2026,2,Idrottsföreningen Kamraterna i Åbo,Pallo-Iirot,60996,107307,2,0,H,g0_logistic_dppg,2026-06-01,0.5653604465369153,0.18753769620388794,0.2471018572591968
4057784,2026-06-05,M2,2026,2,Musan Salama,Nurmijärven Jalkapalloseura,60696,60537,0,0,D,g0_logistic_dppg,2026-06-01,0.5078703078209267,0.1934364726586081,0.29869321952046524
4043044,2026-06-05,M1,2026,1,Kuopion Palloseura,KPV Juniorit,106331,60536,4,1,H,g0_logistic_dppg,2026-06-01,0.4728956966093458,0.19548782939311948,0.33161647399753463
4038089,2026-06-05,M1L,2026,1,Käpylän Pallo,FC KTP Kotka,60487,60972,1,2,A,g0_logistic_dppg,2026-06-01,0.3455382857869727,0.19283103005008484,0.46163068416294245
4038090,2026-06-05,M1L,2026,1,Football Club Haka,Järvenpään Palloseura,60561,60676,1,2,A,g0_logistic_dppg,2026-06-01,0.5467474380089904,0.18979269493010448,0.26345986706090513
4057874,2026-06-05,M2,2026,3,Jalkapalloseura Hercules,Vaasan Palloseura,61004,169909,1,5,A,g0_logistic_dppg,2026-06-01,0.527301404534155,0.19179487910501913,0.2809037163608259
4057787,2026-06-06,M2,2026,2,Hämeenlinnan Jalkapalloseura,Espoon Palloseuran Jalkapallo,35121579,62296,1,3,A,g0_logistic_dppg,2026-06-01,0.6020072407758267,0.1821167729857884,0.21587598623838491
4057875,2026-06-06,M2,2026,3,Äänekosken Huima,Fotbollsföreningen JARO Jalkapalloseura,35117343,144364,7,1,H,g0_logistic_dppg,2026-06-01,0.29596388628743053,0.18711402644640626,0.5169220872661632
4057876,2026-06-06,M2,2026,3,Gamlakarleby Bollklubb,FC Vaajakoski,60492,60496,0,1,A,g0_logistic_dppg,2026-06-01,0.583883512208822,0.18496174118105008,0.23115474661012797
4057697,2026-06-06,M2,2026,1,MYPA,Pallo-Pojat Juniorit,129934,48924,1,3,A,g0_logistic_dppg,2026-06-01,0.4091440161478552,0.19620002345706886,0.39465596039507583
4057877,2026-06-06,M2,2026,3,Tornion Pallo-47,Jakobstads Bollklubb,60666,61766,1,1,D,g0_logistic_dppg,2026-06-01,0.6020072407758267,0.1821167729857884,0.21587598623838497
4038091,2026-06-06,M1L,2026,1,Ekenäs Idrottsförening,Mikkelin Palloilijat,60495,60494,1,0,H,g0_logistic_dppg,2026-06-01,0.4882487224520171,0.19473056269514022,0.3170207148528427
4057696,2026-06-06,M2,2026,1,Atlantis FC Edustus,HIFK Soccer,60702,49735,3,2,H,g0_logistic_dppg,2026-06-01,0.33227612309882215,0.19158073433193865,0.4761431425692393
4057695,2026-06-06,M2,2026,1,Union Plaani,Helsingin Palloseura,61723,49949,0,2,A,g0_logistic_dppg,2026-06-01,0.31389529373293285,0.18951560021778072,0.49658910604928647
4043049,2026-06-06,M1,2026,1,JJK Jyväskylä,Pallokerho Keski-Uusimaa,144858,60929,1,3,A,g0_logistic_dppg,2026-06-01,0.5460069949463431,0.18987553491593118,0.26411747013772574
4057878,2026-06-06,M2,2026,3,SJK Akatemia,Idrottsföreningen Kraft,131834,60686,0,4,A,g0_logistic_dppg,2026-06-01,0.4882487224520171,0.19473056269514022,0.3170207148528427
4057785,2026-06-06,M2,2026,2,FC Honka,Esbo Bollklubb,62416,63411,4,1,H,g0_logistic_dppg,2026-06-01,0.6536133049501397,0.17220538559433132,0.17418130945552898
4043045,2026-06-06,M1,2026,1,Tampereen Pallo-Veikot,Football Club International Turku,60704,60860,1,1,D,g0_logistic_dppg,2026-06-01,0.4113310832031865,0.1962417142715762,0.3924272025252374
4043048,2026-06-06,M1,2026,1,Oulun Luistinseura,Salon Palloilijat,106449,60690,5,0,H,g0_logistic_dppg,2026-06-01,0.506567454428515,0.1935337252063958,0.2998988203650892
4043047,2026-06-06,M1,2026,1,Rovaniemen Palloseura,Jalkapalloseura Tampere United,60973,106945,0,1,A,g0_logistic_dppg,2026-06-01,0.4728956966093458,0.19548782939311948,0.33161647399753463
