league_code,date,week,hg,ag,lam_h,lam_a
NO-ELI,2025-09-14,2025-09-08/2025-09-14,2,2,1.551034072623948,1.5981099836435868
NO-ELI,2025-09-14,2025-09-08/2025-09-14,1,2,1.8663006590574842,1.2428976760234347
SW-AL,2025-09-14,2025-09-08/2025-09-14,4,3,1.1175955904270127,1.0474103294685158
SW-AL,2025-09-14,2025-09-08/2025-09-14,3,3,1.07747056551995,1.1245131514153268
M2,2025-09-14,2025-09-08/2025-09-14,0,1,1.1183507341311028,2.3187467751996538
VL,2025-09-14,2025-09-08/2025-09-14,1,2,1.574731908502234,1.3770224051242794
VL,2025-09-14,2025-09-08/2025-09-14,2,4,1.3904950642967346,1.336233760873593
SW-DA,2025-09-14,2025-09-08/2025-09-14,1,2,1.084171090099351,1.1323324136619939
NO-ELI,2025-09-14,2025-09-08/2025-09-14,0,2,1.1224636020253111,1.5979885552737683
SW-DA,2025-09-14,2025-09-08/2025-09-14,1,2,1.8485077568521107,1.9753421835848162
M2,2025-09-14,2025-09-08/2025-09-14,3,4,1.6826685055388992,1.7963697254881252
NO-PN1,2025-09-14,2025-09-08/2025-09-14,3,0,2.4954824201449415,0.714570918134702
NO-OBOS,2025-09-14,2025-09-08/2025-09-14,1,1,1.6739145352175626,1.722459733961557
SW-AL,2025-09-14,2025-09-08/2025-09-14,2,2,1.0102417954688,1.7426521103936583
NO-ELI,2025-09-14,2025-09-08/2025-09-14,2,1,1.4726154830813127,1.802878191014287
NO-ELI,2025-09-14,2025-09-08/2025-09-14,0,3,0.7616799181813197,1.9755713393181276
NO-OBOS,2025-09-14,2025-09-08/2025-09-14,0,1,1.0469766101855198,2.201930728068777
SW-EN,2025-09-14,2025-09-08/2025-09-14,2,3,1.1847234494144843,1.860434933908303
SW-EN,2025-09-14,2025-09-08/2025-09-14,1,2,2.215891468671689,0.8698466996499841
SW-ES,2025-09-14,2025-09-08/2025-09-14,1,2,0.7825348680164218,1.1391344273563668
SW-ES,2025-09-14,2025-09-08/2025-09-14,2,3,0.9292665141138882,1.740967348996217
M2,2025-09-14,2025-09-08/2025-09-14,2,0,1.680242430613744,1.8625386063883511
M2,2025-09-15,2025-09-15/2025-09-21,0,1,2.053984506108722,1.6276008716025212
SW-AL,2025-09-15,2025-09-15/2025-09-21,1,2,1.1987785647346998,1.771971207400474
SW-AL,2025-09-15,2025-09-15/2025-09-21,2,1,1.4743681172051053,1.0536376092066628
SW-SE,2025-09-15,2025-09-15/2025-09-21,3,1,3.0520929864271826,0.6279824969082406
SW-DA,2025-09-15,2025-09-15/2025-09-21,2,0,1.3580598134228772,1.445335709782934
NO-PN1,2025-09-15,2025-09-15/2025-09-21,5,0,4.923360158134845,0.9944340933307758
SW-SE,2025-09-16,2025-09-15/2025-09-21,0,0,1.466136139761952,1.1705768263484484
M2,2025-09-18,2025-09-15/2025-09-21,2,2,1.4909186588754912,3.4116523916305073
M1,2025-09-18,2025-09-15/2025-09-21,0,2,1.535084148890203,1.632203368326003
M1,2025-09-19,2025-09-15/2025-09-21,3,0,2.3171188210422673,1.8634921918973495
VL,2025-09-19,2025-09-15/2025-09-21,0,1,1.5744226206913228,1.6565991573681216
VL,2025-09-19,2025-09-15/2025-09-21,1,2,1.2102385747436832,1.6559150345869356
SW-DA,2025-09-19,2025-09-15/2025-09-21,2,2,1.0882747023887809,1.5357953355331408
M1L,2025-09-19,2025-09-15/2025-09-21,2,2,1.4655653765823364,1.005338201597834
M1L,2025-09-19,2025-09-15/2025-09-21,1,4,0.7171418955749758,2.0630268341290083
M1L,2025-09-19,2025-09-15/2025-09-21,3,1,1.828072446179375,2.3469888253284097
M1L,2025-09-19,2025-09-15/2025-09-21,1,1,1.819866425217204,2.8222345415948498
M1,2025-09-19,2025-09-15/2025-09-21,1,2,1.3096358981302763,1.4899450503212746
M1,2025-09-19,2025-09-15/2025-09-21,2,1,2.3859142518945684,2.0517385783142887
M2,2025-09-19,2025-09-15/2025-09-21,5,0,5.480974922032268,0.7256769912185911
M1,2025-09-19,2025-09-15/2025-09-21,1,2,1.5793517570764113,1.2850665624585296
SW-SE,2025-09-19,2025-09-15/2025-09-21,3,0,1.531020570654653,0.8777904763862897
NL,2025-09-19,2025-09-15/2025-09-21,3,0,2.215044648487327,2.5593669895330753
SW-SE,2025-09-19,2025-09-15/2025-09-21,2,0,1.3999439954731498,1.113959590385495
SW-SE,2025-09-19,2025-09-15/2025-09-21,3,0,1.6825712624975546,1.026798564323925
SW-EN,2025-09-19,2025-09-15/2025-09-21,2,4,3.3998549309424493,1.7381304797634578
SW-ES,2025-09-19,2025-09-15/2025-09-21,0,0,2.2742978843905863,0.649655449043511
NO-TS,2025-09-20,2025-09-15/2025-09-21,0,4,1.4315728811313482,0.8261970870648679
NO-TS,2025-09-20,2025-09-15/2025-09-21,0,2,0.770686047240755,1.033092877329293
NO-OBOS,2025-09-20,2025-09-15/2025-09-21,2,1,1.7388989500825325,1.5560604994154483
NO-OBOS,2025-09-20,2025-09-15/2025-09-21,3,0,2.1944197468363984,0.9758242716458381
NO-1DK,2025-09-20,2025-09-15/2025-09-21,0,4,0.9182926319732249,1.6682672427192065
NO-OBOS,2025-09-20,2025-09-15/2025-09-21,0,2,1.285448932854936,1.1524807502484522
NO-PN2,2025-09-20,2025-09-15/2025-09-21,4,2,1.562504275101058,1.36953641744032
NO-PN2,2025-09-20,2025-09-15/2025-09-21,0,5,2.168071066574524,2.0397858795740293
NO-PN2,2025-09-20,2025-09-15/2025-09-21,1,0,2.6760771685864277,1.142071763368022
NO-PN2,2025-09-20,2025-09-15/2025-09-21,2,3,1.6430169617461095,2.359466511907371
NO-OBOS,2025-09-20,2025-09-15/2025-09-21,4,1,3.781604827908093,0.5222209847025278
NO-1DK,2025-09-20,2025-09-15/2025-09-21,4,1,1.3309092384058077,2.3170067380740034
M1L,2025-09-20,2025-09-15/2025-09-21,2,1,1.3885769388265463,1.1864350441501694
NO-1DK,2025-09-20,2025-09-15/2025-09-21,4,1,2.7881736275609814,0.8330610326250665
NO-OBOS,2025-09-20,2025-09-15/2025-09-21,2,3,2.1984131736869283,1.0871030566585744
SW-SE,2025-09-20,2025-09-15/2025-09-21,3,1,1.9129187498718963,0.7488592147929312
SW-SE,2025-09-20,2025-09-15/2025-09-21,0,1,1.205127546717576,1.853924799394523
SW-SE,2025-09-20,2025-09-15/2025-09-21,4,0,1.610339033343757,1.453689518748449
SW-SE,2025-09-20,2025-09-15/2025-09-21,4,0,1.9557875265455893,0.5739478583567644
SW-SE,2025-09-20,2025-09-15/2025-09-21,4,5,2.3128793196036503,1.0965319197513403
NO-PN1,2025-09-20,2025-09-15/2025-09-21,2,2,2.2316016769973372,0.8715816515876261
NO-PN1,2025-09-20,2025-09-15/2025-09-21,0,2,1.112598675450419,3.3157170560790536
NO-PN1,2025-09-20,2025-09-15/2025-09-21,5,0,2.2404341993715544,0.7863784584095246
SW-EN,2025-09-20,2025-09-15/2025-09-21,0,5,0.9991553204701487,2.470358199080114
SW-EN,2025-09-20,2025-09-15/2025-09-21,1,3,1.3731638830169484,1.7331548719304515
NO-1DK,2025-09-20,2025-09-15/2025-09-21,0,2,1.331330533278085,1.0780017318096309
SW-EE,2025-09-20,2025-09-15/2025-09-21,2,1,2.753588055479023,1.0447586800006876
NO-PN2,2025-09-20,2025-09-15/2025-09-21,1,2,2.1175222822890327,1.9606048592049374
SW-EE,2025-09-20,2025-09-15/2025-09-21,0,0,1.4486247120868512,0.9622076353800789
SW-DA,2025-09-20,2025-09-15/2025-09-21,0,2,1.0746489388164018,1.5560402613608035
SW-DA,2025-09-20,2025-09-15/2025-09-21,0,4,0.5405260013122279,3.5186701013013377
SW-DA,2025-09-20,2025-09-15/2025-09-21,1,2,1.5474631964241408,1.2282352671258172
SW-DA,2025-09-20,2025-09-15/2025-09-21,1,2,1.345350041561921,2.2479304397666304
SW-ES,2025-09-20,2025-09-15/2025-09-21,2,1,1.4767495584739843,1.4286609796805476
SW-ES,2025-09-20,2025-09-15/2025-09-21,3,2,1.5935769463391727,1.2760906197711999
SW-ES,2025-09-20,2025-09-15/2025-09-21,2,0,1.1350744200392373,1.577491316593703
SW-ES,2025-09-20,2025-09-15/2025-09-21,0,1,1.035913685433333,2.0587452988757167
